no;km;parcours
213;49;MONTAUBAN – D28 – ROMILLE – VC – LA CHLLE CHAUSSEE – D81 – ST BRIEUC DES IFFS – D81 – TINTENIAC – à gauche D20 – LA BAUSSAINE – D20 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
216;90;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BÉCHEREL - D20 - LA BAUSSAINE - à gauche D79 - TRIMER - à gauche D79 - Vieux Bourg - à droite D79 - TRÉVERIEN - D79 - PLESDER - à droite D78 - LANHELIN - à droite D73 - COMBOURG - à droite D13 - LA CHAPELLE AUX FILTZMÉENS - à gauche D81 - QUEBRIAC - D81 - TINTÉNIAC - D81 - ST BRIEUC DES IFFS - D81 - LA CHAPELLE CHAUSSÉE - tout droit D221 - ROMILLÉ - D28 - MONTAUBAN
217;69;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BÉCHEREL - D20 - LA BAUSSAINE - à gauche D79 - TRIMER - à gauche D79 - Vieux Bourg - à droite D79 - TRÉVÉRIEN - à droite D11 - ST DOMINEUC - D13 - LA CHAPELLE AUX FILTZMÉENS - à droite D81 - QUEBRIAC - D81 - TINTÉNIAC - D81 - ST BRIEUC DES IFFS - D81 - LA CHAPELLE CHAUSSÉE - tout droit D221 - ROMILLÉ - D28 - MONTAUBAN
218;49;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BÉCHEREL - D20 - LA BAUSSAINE - D20 - TINTÉNIAC - à droite (direction Hédé) - à droite D81 - ST BRIEUC DES IFFS - D81 - LA CHAPELLE CHAUSSÉE - tout droit D221 - ROMILLÉ - D28 - MONTAUBAN
221;95;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – D71 – ST MALON / MEL – à droite D31 (direction Concoret) – à gauche D31 (direction concoret) – Chau de Comper – D141 – La Loriette – D2 – CONCORET – D2 – D31 – D2 – MAURON – à gauche et à droite D16 – GUILLIERS – à gauche avant le bourg D154 – à droite D154 – NEANT/YVEL – D154 – TREHORENTEUC – à gauche D141 (direction Mauron) – à droite VC – Folle Pensée – VC – à gauche VC (direction Paimpont) – à gauche D40 – PAIMPONT – D38 (direction Plélan le Gd) – à gauche D40 – Coganne, tout droit – à gauche D40 – ST PERAN – à gauche D61 – IFFENDIC – D61 – MONTAUBAN
222;70;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – D71 – ST MALON / MEL – à droite D31 (direction Concoret) – à gauche D31 (direction Concoret) – Chau de Comper – D141 – La Loriette – D2 – CONCORET – à gauche D141 (direction Tréhorenteuc) – La Saudrais – à gauche D141 – à gauche VC – Folle Pensée – VC – à gauche VC (direction Paimpont) – à gauche D40 – PAIMPONT – D38 (direction Plélan le Gd) – à gauche D40 – à gauche D61 – ST PERAN – à gauche D61 – IFFENDIC – D61 – MONTAUBAN
223;53;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – D71 – ST MALON / MEL – à droite D31 (direction Concoret) – à gauche D31 (direction Concoret) – Chau de Comper – D141 – La Loriette – à gauche D773 – PAIMPONT – D38 (direction Plélan le Gd) – à gauche D40 – à gauche D61 – ST PERAN – à gauche D61 – IFFENDIC – D61 – MONTAUBAN
226;95;MONTAUBAN - D61 - IFFENDIC - D61 - ST PERAN – D40 (direction Plélan le Gd) – La Martinais - à droite D40 – à droite D38 - PAIMPONT - à gauche D773 - à droite D40 - Beauvais - à droite VC (direction Tréhorenteuc) - à droite VC - Folle Pensée - à gauche D141 - TREHORENTEUC - à droite D154 - NEANT/YVEL - D154 - GUILLIERS - à droite D16 - MAURON - à gauche et à droite D2 - CONCORET – D2 – La Loriette – D141 – Chau de Comper - D31 - ST MALON/MEL - D71 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
227;70;MONTAUBAN - D61 - IFFENDIC - D61 - ST PERAN – D40 (direction Plélan le Gd) – La Martinais - à droite D40 – à droite D38 - PAIMPONT - à gauche D773 - à droite D40 - Beauvais - à droite VC (direction Tréhorenteuc) - à droite VC - Folle Pensée - à droite D141 (direction Mauron) - La Saudrais - à droite D141 - CONCORET – D2 – La Loriette – D141 – Chau de Comper - D31 - ST MALON/MEL - D71 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
228;53;MONTAUBAN - D61 - IFFENDIC - D61 - ST PERAN – D40 (direction Plélan le Gd) – La Martinais - à droite D40 – à droite D38 - PAIMPONT - à droite D773 (direction Gaël) – La Loriette - à droite D141 – Chau de Comper - D31 - ST MALON/MEL - D71 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
231;97;MONTAUBAN – D61 – D261 – ST UNIAC – D261 (direction Montfort) – à gauche D125 – MONTFORT/MEU – D30 (direction La Chlle Thouarault) – D68 – CINTRE – D34 – MORDELLES – à droite VC – BREAL S/S MONTFORT – 2ème à droite D62 – GOVEN – D39 (direction Guichen) et à gauche VC – PONT REAN – à droite D577 – GUICHEN – D38 (direction Bourg des Comptes) – à droite D84 (direction St Senoux) – La Belle Etoile – à droite D48 – GUIGNEN – à droite D62 – LASSY – D62 (direction Goven) – 1ère à gauche VC – La Hillandais – Traverser D44 – La Chlle de l’Ermitage – La Jouannelais – à droite D36 – BREAL S/S MONTFORT – D62 – TALENSAC – D62 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
232;74;MONTAUBAN – D61 – D261 – ST UNIAC – D261 (direction Montfort) – à gauche D125 – MONTFORT/MEU – D30 (direction La Chlle Thouarault) – D68 – CINTRE – D34 – MORDELLES – à droite VC – BREAL S/S MONTFORT – 2ème à droite D62 – GOVEN – D44 (direction Baulon) – 2ème à droite VC – La Chlle de l’Ermitage – La jouannelais – à droite D36 – BREAL S/S MONTFORT – D62 – TALENSAC – D62 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
233;54;MONTAUBAN – D61 – D261 – ST UNIAC – D261 (direction Montfort) – à gauche D125 – MONTFORT/MEU – D30 (direction La Chlle Thouarault) – D68 – CINTRE – D34 – MORDELLES – à droite VC – BREAL S/S MONTFORT – D62 – TALENSAC – D62 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
236;97;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D62 - TALENSAC - D62 - BREAL S/S MONTFORT - D36 (direction St Thurial) – 1ère à gauche VC - La Jouannelais - La Chapelle de l'Ermitage - traverser D44 - La Hillandais - à droite D62 – à droite D38 - LASSY – à gauche D62 - GUIGNEN - D48 (direction Bourg des Comptes) - Carrefour La Belle Etoile, à gauche D84 - GUICHEN - D577 - PONT REAN - à gauche VC - GOVEN - D62 - BREAL S/S MONTFORT - tout droit VC - MORDELLES – à gauche D34 - CINTRE - D68 (direction La Chapelle Thouarault) - à gauche D30 - MONTFORT/MEU - D125 (direction Boisgervilly) - La Ville Lesné – à droite D261 - ST UNIAC - D261 - D61 - MONTAUBAN
237;74;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D62 - TALENSAC - D62 - BREAL S/S MONTFORT - D36 (direction St Thurial) – 1ère à gauche VC - La Jouannelais - La Chapelle de l'Ermitage - à gauche D44 - GOVEN - D62 - BREAL S/S MONTFORT - tout droit VC - MORDELLES – à gauche D34 - CINTRE - D68 (direction La Chapelle Thouarault) - à gauche D30 - MONTFORT/MEU - D125 (direction Boisgervilly) - La Ville Lesné – à droite D261 - ST UNIAC - D261 - D61 - MONTAUBAN
238;54;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D62 - TALENSAC - D62 - BREAL S/S MONTFORT - à gauche VC - MORDELLES – à gauche D34 - CINTRE - D68 (direction La Chapelle Thouarault) - à gauche D30 - MONTFORT/MEU - D125 (direction Boisgervilly) - La Ville Lesné – à droite D261 - ST UNIAC - D261 - D61 - MONTAUBAN
241;92;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – D61 – PLELAN LE GD – à gauche D38 – MAXENT – D38 (direction Baulon) – à droite D65 – CAMPEL – D65 – MAURE DE B GNE – D772 (direction Lohéac) et aussitôt à gauche D48 – MERNEL – à gauche D248 – à droite D776 – LA CH LLE BOUËXIC – D776 (direction Guichen) – à gauche D69 – BAULON – D69 – ST THURIAL – D69 – Cossinade – D69 – LE VERGER – à gauche D240 – MONTERFIL – D363 (direction Talensac) – MONTFORT/MEU – D125 – D61 – MONTAUBAN;4965806
242;75;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – D61 – PLELAN LE GD – à gauche D38 – MAXENT – D38 – BAULON – D69 – ST THURIAL – D69 – Cossinade – D69 – LE VERGER – à gauche D240 – MONTERFIL – D363 (direction Talensac) – MONTFORT/MEU – D125 – D61 – MONTAUBAN
243;51;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – à gauche D35 (direction Montfort) – Les 4 Routes d’Iffendic – à droite D63 – MONTERFIL – à gauche D363 (direction Talensac) – MONTFORT/MEU – D125 – D61 – MONTAUBAN
246;92;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D363 - MONTERFIL - à gauche D240 - LE VERGER - à droite D69 - Cossinade - D69 - ST THURIAL - D69 - BAULON - D69 - Bel Air - à droite D776 - LA CHAPELLE BOUËXIC - D776 (direction Guer) - à gauche D248 - MERNEL - à droite D48 - MAURE DE BRETAGNE - à droite D65 - CAMPEL - D65 - D38 - MAXENT - D38 - PLELAN LE GRAND - à droite D61 - ST PERAN - D61 - IFFENDIC - D61 - MONTAUBAN
247;75;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D363 - MONTERFIL - à gauche D240 - LE VERGER - à droite D69 - Cossinade - D69 - ST THURIAL - D69 - BAULON - à droite D38 - MAXENT - D38 - PLELAN LE GRAND - à droite D61 - ST PERAN - D61 - IFFENDIC - D61 - MONTAUBAN
248;51;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D363 - MONTERFIL - à droite D63 - Les 4 routes d'Iffendic - à gauche D35 - ST PERAN - à droite D61 - IFFENDIC - D61 - MONTAUBAN
251;92;MONTAUBAN – D61 – IFFENDIC – D63 – MONTERFIL – à droite D63 – TREFFENDEL – D63 – MAXENT – D63 – LOUTEHEL – D44 (direction Guer) – D311a – à droite D311 (direction Plélan le Gd) – à gauche après La Peignardais VC – ST RAOUL – à droite VC – BELLEVUE – à droite D773 – ST MALO DE BEIGNON – D773 – 1ère à gauche après étang VC – BEIGNON – D71 – PAIMPONT – D71 – D59 – ST MALON/MEL – D71 – ST MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
252;75;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – D61 – PLELAN LE G D – à gauche D59 (direction Guer) – Le Bodo – D59 – LE THELIN – D59 – à droite D259 (direction Guer) – à droite VC – ST RAOUL – à droite VC – BELLEVUE – à droite D773 – ST MALO DE BEIGNON – D773 – 1ère à gauche après étang VC – BEIGNON – D71 – PAIMPONT – D71 – D59 – ST MALON / MEL – D71 – ST MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
253;51;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – D40 (direction Plélan le Gd) – La Martinais – à droite D40 – PAIMPONT – D71 – D59 – ST MALON/MEL – D71 – ST MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
256;92;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 - ST MALON/MEL - D59 (direction Plélan le Gd) – à droite D71 - PAIMPONT – D773 - D71 – D124 - BEIGNON - D773 - ST MALO DE BEIGNON - D773 - BELLEVUE - à gauche VC - ST RAOUL - 2ème à gauche VC (direction Le Thélin) - à droite D259 - D311 - La Bardoulais - à gauche D311a - D44 - LOUTEHEL - D63 - MAXENT - D63 - TREFFENDEL - D63 - MONTERFIL - D63 - IFFENDIC - D61 - MONTAUBAN
257;75;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 - ST MALON/MEL - D59 (direction Plélan le Gd) – à droite D71 - PAIMPONT – D773 - D71 – D124 - BEIGNON - D773 - ST MALO DE BEIGNON - D773 - BELLEVUE - à gauche VC - ST RAOUL - 2ème à gauche VC (direction Le Thélin) - à gauche D259 - LE THELIN - D59 - PLELAN LE G D - D61 - ST PERAN - D61 - IFFENDIC - D61 - MONTAUBAN
258;51;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 - ST MALON/MEL - D59 (direction Plélan le Gd) - à droite D71 - PAIMPONT - D38 (direction Plélan le Gd) – à gauche D40 - ST PERAN - D61 - IFFENDIC - D61 - MONTAUBAN
261;96;MONTAUBAN – La Brohinière – D28 (direction Le Crouais) – à droite D59 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 (direction Plumaugat) – à droite, passer au-dessus 4 voies et aussitôt à gauche – D712 – BROONS – à droite D793 (direction Yvignac) – La Gare de Broons – à gauche D61 – TREDIAS – à gauche D39 – à droite D19 – MEGRIT – à gauche D52 – JUGON LES LACS – D792 (direction Plancoët) – BOURSEUL – à droite D91 – ST MELOIR DES BOIS – D89 – D19 – PLELAN LE P T – Traverser D716 – D19 – à gauche D89 – LANGUEDIAS – D61 – TREBEDAN – à droite D62 – D64 – PLUMAUDAN – D90 (direction Caulnes) – Traverser D766 – VC – à gauche D39 – à droite D89 (direction Guitté) – à gauche D90 – GUENROC – VC – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
262;68;MONTAUBAN – La Brohinière – D28 (direction Le Crouais) – à droite D59 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 (direction Plumaugat) – à droite, passer au-dessus 4 voies et aussitôt à gauche – D712 – BROONS – à droite D793 (direction Yvignac) – La Gare de Broons – à gauche D61 – TREDIAS – à gauche D39 – à droite D19 – MEGRIT – D19 – à droite D89 – LANGUEDIAS – D61 – TREBEDAN – à droite D62 – D64 – PLUMAUDAN – D90 (direction Caulnes) – Traverser D766 – VC – à gauche D39 – à droite D89 (direction Guitté) – à gauche D90 – GUENROC – VC – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
263;50;MONTAUBAN – La Brohinière – D28 (direction Le Crouais) – à droite D59 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 (direction Plumaugat) – à droite D46 – CAULNES – à gauche D62 – YVIGNAC – à droite D39 – La Croix Guessant – D39 – D89 – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
266;96;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - à droite puis à gauche VC - GUENROC - à gauche D90 - à droite D89 – à gauche D39 (direction Yvignac) – 2ème à droite VC, 1 km avant La Croix Guessant (direction « Tessier Viandes ») - traverser D766 - D90 - PLUMAUDAN - D64 - D62 - TREBEDAN - D61 - LANGUEDIAS - tout droit D89 - à droite D19 - PLELAN LE PETIT - D19 - D89 - ST MELOIR DES BOIS - D91 - BOURSEUL - à gauche D792 - JUGON LES LACS - D52 - MEGRIT - D19 (direction Trémeur) - à gauche D39 - TREDIAS – à droite D61 - La Gare de Broons - à droite D793 - BROONS - D712 - Recouvrance - D712 - ST JOUAN DE L'ISLE - D712 – D59 – QUEDILLAC - D59 (direction Le Crouais) - à gauche D28 - La Brohinière - MONTAUBAN
267;68;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - à droite puis à gauche VC - GUENROC - à gauche D90 - à droite D89 – à gauche D39 (direction Yvignac) - 2ème à droite VC, 1 km avant La Croix Guessant (direction « Tessier Viandes ») - traverser D766 - D90 - PLUMAUDAN - D64 - D62 - TREBEDAN - D61 - LANGUEDIAS - tout droit D89 - à gauche D19 - MEGRIT - D19 (direction Trémeur) - à droite D39 - TREDIAS – à droite D61 - La Gare de Broons - à droite D793 - BROONS - D712 - Recouvrance - D712 - ST JOUAN DE L'ISLE - D712 – D59 – QUEDILLAC - D59 (direction Le Crouais) - à gauche D28 - La Brohinière - MONTAUBAN
268;50;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - D89 - D39 - La Croix Guessant - D39 - YVIGNAC - à gauche D62 - CAULNES - à la gare à droite D46 (direction Plumaugat) - à gauche D712 - ST JOUAN DE L'ISLE - D712 – D59 – QUEDILLAC - D59 (direction Le Crouais) - à gauche D28 - La Brohinière - MONTAUBAN
271;107;MONTAUBAN – D61 – BOISGERVILLY – D125 (direction St Meen) – à gauche VC – ST ONEN LA CHLLE – VC – GAËL – à droite après église et à 1ère gauche D258 (direction Illifaut) – traverser D52 – VC – à gauche D66 – ILLIFAUT – D305 (direction Ménéac) – à gauche D134 – BRIGNAC – D184 – EVRIGUET – à droite D2 – LA TRINITE PORHOËT (centre ville) – à droite D175 – GOMENE – à droite D6 – à gauche D793 – MERDRIGNAC – à droite D66A (direction Brignac) – après 1,8 km, à gauche VC – ILLIFAUT – D66 – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE GD – D 59 – LE CROUAIS – D 59 – D 28 – La Brohinière – MONTAUBAN
272;74;MONTAUBAN – D61 – BOISGERVILLY – D125 (direction St Meen) – à gauche VC – ST ONEN LA CHLLE – VC – GAËL – à droite après église et à 1ère gauche D258 (direction Illifaut) – traverser D52 – VC – à gauche D66 – ILLIFAUT – à gauche D6 – D304 – MAURON – 1ère à gauche D307 (direction Trémorel) – D52 – à droite D66 – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE GD – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
273;52;MONTAUBAN – D61 – BOISGERVILLY – D125 (direction St Meen) – à gauche VC – ST ONEN LA CHLLE – VC – GAËL – à droite après église et 1 ère à gauche D258 (direction Illifaut) – à droite D52 (direction Trémorel) – à droite D66 – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE G D – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
276;107;MONTAUBAN - La Brohinière - D28 - D59 - LE CROUAIS - D59 - ST MEEN LE GD – D220 - D66 - LE LOSCOUET/MEU - D66 - ILLIFAUT – à gauche, face à l’église VC – à droite D66 A - MERDRIGNAC - à gauche D793 (direction Ménéac) - à droite D6 - GOMENÉ - D175 - LA TRINITE PERHOËT - à gauche D2 - EVRIGUET - à gauche D184 - BRIGNAC - D134 (direction Merdrignac) - à droite D305 - D66 - ILLIFAUT - D66 (direction St Méen le Gd) - à droite VC – traverser D52 – D258 - GAËL - à gauche après l'église puis à droite VC - ST ONEN LA CHAPELLE – VC - D125 - BOISGERVILLY - D61 - MONTAUBAN
277;74;MONTAUBAN - La Brohinière - D28 - D59 - LE CROUAIS - D59 - ST MEEN LE GD – D220 - D66 - LE LOSCOUET/MEU - D66 (direction Illifaut) - à gauche D52 - MAURON - à droite D304 - D6 - ILLIFAUT - à droite D66 (direction St Méen le Gd) - à droite VC – traverser D52 – D258 - GAËL - à gauche après l'église puis à droite VC - ST ONEN LA CHAPELLE – VC - D125 - BOISGERVILLY - D61 – MONTAUBAN
278;52;MONTAUBAN - La Brohinière - D28 - D59 - LE CROUAIS - D59 - ST MEEN LE GD – D220 - D66 - LE LOSCOUET/MEU - D66 (direction Illifaut) - à gauche D52 (direction Mauron) - à gauche D258 - GAËL - à gauche après l'église puis à droite VC - ST ONEN LA CHAPELLE – VC - D125 - BOISGERVILLY - D61 - MONTAUBAN
281;103;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 - D66 – LE LOSCOUËT/MEU – D66 – ILLIFAUT – D305 – MENEAC – D793 – LA TRINITE PORHOËT – D793 – MOHON – D8 (direction Ploërmel) – ST MALO DES 3 FONTAINES – à gauche D16 – GUILLIERS – D16 – MAURON – D2 – CONCORET – D2 – La Loriette - D141 – Chau de Comper – D31 – ST MALON/MEL – D71 – ST MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
282;74;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 - D66 – LE LOSCOUËT/MEU – D66 – ILLIFAUT – D66 (direction Ménéac) – D305 – à gauche D134 – BRIGNAC – D134 – à gauche D2 – ST BRIEUC DE MAURON – D2 – MAURON – D2 – CONCORET – D2 – La Loriette – D141 – Ch au de Comper – D31 – ST MALON/MEL – D71 – ST MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
283;55;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 - D66 – LE LOSCOUËT/MEU – D66 (direction Illifaut) – 1ère à gauche VC – D58 – GAËL – D773 (direction Paimpont) – La Loriette – à gauche D141 – Ch au de Comper – D31 – ST MALON/MEL – D71 – ST MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
286;103;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 - ST MALON/MEL - D31 (direction Gaël) - à gauche D31 - Chau de Comper - D141 – La Loriette - D2 - CONCORET - D2 – MAURON - D16 - GUILLIERS - D16 - ST MALO DES 3 FONTAINES - à droite D8 - MOHON - D793 - LA TRINITE PORHOËT - à gauche D793 - MENEAC – à droite D305 – D66 - ILLIFAUT - D66 - LE LOSCOUËT/MEU - D66 – D220 - ST MEEN LE G D - D125 - BOISGERVILLY - D61 - MONTAUBAN
287;74;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 - ST MALON/MEL - D31 (direction Gaël) - à gauche D31 - Chau de Comper - D141 – La Loriette - D2 - CONCORET - D2 - MAURON – tout droit D2 - ST BRIEUC DE MAURON - à gauche D2 (direction Evriguet) et à droite D134 - BRIGNAC - D134 (direction Merdrignac) - à droite D305 – D66 - ILLIFAUT - D66 - LE LOSCOUËT/MEU - D66 – D220 - ST MEEN LE G D - D125 - BOISGERVILLY - D61 - MONTAUBAN
288;55;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 - ST MALON/MEL - D31 (direction Gaël) - à gauche D31 - Chau de Comper - D141 – La Loriette - à droite D773 - GAËL - à droite après l'église et 2 ème à gauche D58 (direction Trémorel) - à droite D66 - LE LOSCOUËT/MEU - D66 – D220 - ST MEEN LE GD - D125 - BOISGERVILLY - D61 - MONTAUBAN
291;95;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D125 – D19 – PLUMAUGAT – D46 – LANRELAS – D61 – D76 – ST LAUNEUC – à droite D793 – EREAC – D793 – BROONS – D793 – YVIGNAC – D793 – BRUSVILY – à droite avant église VC – Le Creux – traverser D766 et aussitôt à droite VC – Le Paradis – à droite VC – à gauche D64 – ST JUVAT – D12 – TREFUMEL – à droite D39 (direction Yvignac) – à gauche D90 – GUENROC – VC – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
292;75;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D125 – D19 – PLUMAUGAT – D19 – BROONS – D793 – YVIGNAC – D793 – BRUSVILY – à droite avant église VC – Le Creux – traverser D766 et aussitôt à droite VC – Le Paradis – à droite VC – à gauche D64 – ST JUVAT – D12 – TREFUMEL – à droite D39 (direction Yvignac) – à gauche D90 – GUENROC – VC – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
293;58;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D125 – D19 – PLUMAUGAT – D19 – BROONS – à droite D712 (direction St Jouan de l’Isle) – Recouvrance – à gauche D25 – CAULNES – à gauche et aussitôt à droite VC (direction Guenroc) – à droite D89 – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
296;95;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - à droite puis à gauche VC - GUENROC - D39 (direction St Maden) - à droite D39 - TREFUMEL - à gauche D12 - ST JUVAT - à gauche D64 (direction Plumaudan) - à droite VC - Le Paradis - à gauche VC (direction Brusvily) - traverser D766 - Le Creux - D71 - BRUSVILY - à gauche D793 - YVIGNAC - D793 - BROONS - D793 - EREAC - D793 - ST LAUNEUC - à gauche D76 (direction St Méen le Gd) - à gauche D61 - LANRELAS - D46 - PLUMAUGAT - à droite D19 - D125 - ST MEEN LE G D - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
297;75;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - à droite puis à gauche VC - GUENROC - D39 (direction St Maden) - à droite D39 - TREFUMEL - à gauche D12 - ST JUVAT - à gauche D64 (direction Plumaudan) - à droite VC - Le Paradis - à gauche VC (direction Brusvily) - traverser D766 - Le Creux - D71 - BRUSVILY - à gauche D793 - YVIGNAC - D793 - BROONS - à gauche D19 - PLUMAUGAT - à droite D19 - D125 - ST MEEN LE G D - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
298;58;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - D89 (direction St Maden) – 1ère à gauche après La Rance VC – La Roptais – CAULNES - à gauche et à la gare à droite D46 (direction Plumaugat) - avant 4 voies à droite D712 - BROONS - à gauche D19 - PLUMAUGAT - à droite D19 - D125 - ST MEEN LE GD - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
301;105;MONTAUBAN – D71 – LANDUJAN – D71 – D20 – BECHEREL – D20 – LA BAUSSAINE – D20 – TINTENIAC – D20 – DINGE – à gauche D82 – à droite D795 – COMBOURG (centre ville) – à gauche D795 (direction Dol de Bretagne) – à gauche aux feux D73 – LANHELIN – à gauche D78 – PLESDER – D78 – D39 – à gauche D2 – EVRAN – 1ère à droite D78 (direction Le Hinglé) – à droite D26 et aussitôt à gauche D78 (direction Trévron) – à gauche D12 (direction St Juvat) – à droite D78 – TREVRON – tout droit D78 (direction Le Hinglé) – 1ère à gauche et aussitôt à droite VC – traverser D766 – Le Creux – tout droit D71 (direction Brusvily) et aussitôt à gauche VC – PLUMAUDAN – 1ère à droite après D64, VC (vers école primaire) – YVIGNAC – à droite D39 – La Croix Guessant – D39 – D89 – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
302;76;MONTAUBAN – D71 – LANDUJAN – D71 – D20 – BECHEREL – D20 – LA BAUSSAINE – à gauche D79 – TRIMER – 2ème à gauche VC (direction St Domineuc) – à gauche D637 – ST DOMINEUC – à gauche D13 (direction Le Quiou) – 1ère à droite D11 – TREVERIEN – D11 – D78 – EVRAN – à droite et 1ère à gauche D78 (direction Le Hinglé) – à droite D26 et aussitôt à gauche D78 (direction Trévron) – à gauche D12 (direction St Juvat) – à droite D78 – TREVRON – tout droit D78 (direction Le Hinglé) – 1ère à gauche et aussitôt à droite VC – traverser D766 – à gauche – Le Creux – à droite D71 (direction Brusvily) et aussitôt à gauche VC – PLUMAUDAN – 1ère à droite après D64, VC (vers école primaire) – YVIGNAC – à droite D39 – La Croix Guessant – D39 – D89 – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
303;53;MONTAUBAN – D71 – LANDUJAN – D71 (direction Bécherel) – à gauche D20 – à droite ST PERN – D20 – D12 – PLOUASNE – D12 – TREFUMEL – à gauche D64 – traverser D766 – D64 – PLUMAUDAN – à gauche D90 (direction Caulnes) – traverser D766 – VC – à droite et à gauche D39 – D89 – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
